Reliq_Flow_Set,Pressure_Inlet_Set,Time,Pressure_Inlet_Act,Temp_Inlet,Flow_Inlet_Act,Reliq_Flow_Act,Power_Comp,Min_Approach,LMTD,UA,Pressure_Outlet,Status
1300,6.2,14:27:42,6.2,37.59513032504235,29143.1660642398,1300.0,441.89475823913165,-32767.0,-32767.0,-32767.0,-327.67,OK
1300,6.3,14:27:44,6.3,37.59513032504235,29143.1660642398,1300.0,446.44582979433585,-32767.0,-32767.0,-32767.0,-327.67,OK
1300,6.4,14:27:47,6.4,37.59513032504235,29143.1660642398,1300.0,450.73927995206043,-32767.0,-32767.0,-32767.0,-327.67,OK
1300,6.5,14:27:49,6.5,37.59513032504235,29143.1660642398,1300.0,454.8771989816693,-32767.0,-32767.0,-32767.0,0.5469932927402824,OK
1300,6.6,14:27:51,6.6000000000000005,67.76789163536506,29143.1660642398,1300.0,212.15126685105548,-32767.0,-32767.0,-32767.0,-327.67,OK
1300,6.7,14:27:54,6.7,67.76789163536506,29143.1660642398,1300.0,429.97434258742754,-32767.0,-32767.0,-32767.0,-327.67,OK
1300,6.8,14:27:56,6.8,67.76789163536506,29143.1660642398,1300.0,441.3148319308972,-32767.0,-32767.0,-32767.0,-327.67,OK
1350,6.5,14:27:59,6.5,67.76789163536506,29143.1660642398,1350.0,483.73275111432474,-32767.0,-32767.0,-32767.0,-327.67,OK
1350,6.6,14:28:01,6.6000000000000005,67.76789163536506,29143.1660642398,1350.0,212.15126685105548,-32767.0,-32767.0,-32767.0,-327.67,OK
1350,6.7,14:28:03,6.7,67.76789163536506,29143.1660642398,1350.0,429.97434258742754,-32767.0,-32767.0,-32767.0,-327.67,OK
1350,6.8,14:28:06,6.8,67.76789163536506,29143.1660642398,1350.0,441.3148319308972,-32767.0,-32767.0,-32767.0,-327.67,OK
1350,6.9,14:28:08,6.9,67.76789163536506,29143.1660642398,1350.0,445.55361858882793,-32767.0,-32767.0,-32767.0,-327.67,OK
1350,7.0,14:28:10,7.0,67.76789163536506,29143.1660642398,1350.0,449.55096073292384,-32767.0,-32767.0,-32767.0,-327.67,OK
1350,7.1,14:28:12,7.1000000000000005,72.42097669061633,29143.1660642398,1350.0,449.67944834557335,-32767.0,-32767.0,-32767.0,0.7498914357053861,OK
1400,6.9,14:28:15,6.9,72.42097669061633,29143.1660642398,1400.0,441.6580208446232,-32767.0,-32767.0,-32767.0,-327.67,OK
1400,7.0,14:28:18,7.0,72.42097669061633,29143.1660642398,1400.0,445.7485634328358,-32767.0,-32767.0,-32767.0,-327.67,OK
1400,7.1,14:28:20,7.1000000000000005,72.42097669061633,29143.1660642398,1400.0,449.67944834557335,-32767.0,-32767.0,-32767.0,0.7498914357053861,OK
1400,7.2,14:28:22,7.2,36.23554475871276,29143.1660642398,1400.0,482.0316370180504,3.0191046869641127,12.890423903272724,127.14625304091666,34.133513066296366,OK
1400,7.3,14:28:25,7.3,35.92370332304239,29143.1660642398,1400.0,485.5491525023802,3.6636978302375383,13.422144352251049,122.43370299196597,35.094751454381274,OK
1400,7.4,14:28:27,7.4,35.68784281531407,29143.1660642398,1400.0,488.93281419069166,4.2171595686403975,13.85708790441006,118.88836948270801,35.98734369524378,OK
1400,7.5,14:28:29,7.5,35.48779257629383,29143.1660642398,1400.0,492.1961160364579,4.687974586790062,14.210113874182648,116.19957980013108,36.81405831447317,OK
1450,7.0,14:28:33,7.0,38.9486172306232,29143.1660642398,1450.0,472.91997562324326,0.7819754219915467,8.68208005715571,188.83292752123393,31.45828864139959,OK
1450,7.1,14:28:35,7.1000000000000005,38.3134074952103,29143.1660642398,1450.0,476.94234539727586,1.92367946654781,9.960519316828663,165.20166279418825,32.79258846163957,OK
1450,7.2,14:28:37,7.2,37.853528322159036,29143.1660642398,1450.0,480.74778231893976,2.698533463559329,10.81141625096536,152.66842340730824,33.91921977722178,OK
1450,7.3,14:28:40,7.3,37.5245798354789,29143.1660642398,1450.0,484.3479526217835,3.026028025165701,11.415780328175575,144.973642750065,34.89702067361743,OK
1450,7.4,14:28:42,7.4,37.27298673139671,29143.1660642398,1450.0,487.74973395087784,3.2931127615738163,11.908124550662727,139.33328913832258,35.80920851691598,OK
1450,7.5,14:28:44,7.5,37.06217229265019,29143.1660642398,1450.0,491.0279999916323,3.4997363588311856,12.29687970126564,135.23727839526828,36.64600251866231,OK
1450,7.6,14:28:47,7.6000000000000005,36.88468615866174,29143.1660642398,1450.0,494.19175141863076,3.67432350631033,12.631486841080156,131.94511869177336,37.44914448210216,OK
1500,7.2,14:28:50,7.2,39.45652684752645,29143.1660642398,1500.0,479.4444097945172,1.0954844603746352,8.11147253933515,204.90268644195754,33.70222032275401,OK
1500,7.3,14:28:52,7.3,39.12571288496457,29143.1660642398,1500.0,483.04901182298545,1.4438326072429675,8.923289652995441,186.7758207506323,34.69986902895942,OK
1500,7.4,14:28:54,7.4,38.85990313560529,29143.1660642398,1500.0,486.5258096394095,1.7263461738930062,9.545149218569795,175.05738579645833,35.62884890559335,OK
1500,7.5,14:28:57,7.5,38.63781605321094,29143.1660642398,1500.0,489.82089904835567,1.943400759317484,10.015101560578177,167.22826783069792,36.47758816424856,OK
1500,7.6,14:28:59,7.6000000000000005,38.45423971655657,29143.1660642398,1500.0,493.0081486767253,2.124823342818594,10.405135772922101,161.31186287515098,37.284336866969184,OK
1500,7.7,14:29:01,7.7,38.29374963338881,29143.1660642398,1500.0,496.11215186648053,2.2821025173908396,10.74458717608457,156.55058642600065,38.06954375322784,OK
1500,7.8,14:29:04,7.8,38.164575124001715,29143.1660642398,1500.0,499.10979866992193,2.409457877730837,11.024603112733779,152.88446399092223,38.81453454246714,OK
